Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1.01.08.03," Outros "," 750 "," 37 "," 67 "
1.02," Ativo Não Circulante "," 132139 "," 103842 "," 111220 "
1.02.01," Ativo Realizável a Longo Prazo "," 12038 "," 6014 "," 9882 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.04.03," Clientes - Partes Relacionadas "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 12038 "," 6014 "," 9882 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," 1038 "," 3349 "," 0 "
1.02.01.10.03," Cauções e Depósitos "," 147 "," 9 "," 103 "
1.02.01.10.04," Tributos Não-Correntes a Recuperar "," 10853 "," 2656 "," 9779 "
1.02.01.10.19," Outros Investimentos de Incentivos Fiscais "," "," "," "
1.02.01.10.20," Outros Ativos Não Circulantes "," "," "," "
1.02.02," Investimentos "," 37070 "," 21088 "," 17894 "
1.02.02.01," Participações Societárias "," 37070 "," 21088 "," 17894 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 37037 "," 21055 "," 17861 "
1.02.02.01.05," Outros Investimentos "," 33 "," 33 "," 33 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 79601 "," 73971 "," 81246 "
1.02.03.01," Imobilizado em Operação "," 69381 "," 71920 "," 79195 "
1.02.03.01.01," Terrenos "," 1700 "," 1700 "," 1700 "
1.02.03.01.02," Edificações "," 24373 "," 24318 "," 24318 "
1.02.03.01.03," Instalações "," 2086 "," 2086 "," 2069 "
1.02.03.01.04," Máquinas e Equipamentos "," 136018 "," 135152 "," 141400 "
1.02.03.01.05," Móveis e Utensílios "," 1201 "," 1084 "," 1173 "
1.02.03.01.06," Computadores e Periféricos "," 6668 "," 6222 "," 6009 "
1.02.03.01.07," Veículos "," 293 "," 348 "," 564 "
1.02.03.01.08," Reavaliação de Maquinas e Equipamentos "," "," "," "
1.02.03.01.19," Ajuste Depreciações Acumuladas - Lei 11.638 "," "," "," "
1.02.03.01.20," (-) Depreciações Acumuladas "," -102958 "," -98990 "," -98038 "
1.02.03.02," Direito de Uso em Arrendamento "," 457 "," 272 "," 0 "
1.02.03.03," Imobilizado em Andamento "," 9763 "," 1779 "," 2051 "
1.02.04," Intangível "," 3430 "," 2769 "," 2198 "
1.02.04.01," Intangíveis "," 3430 "," 2769 "," 2198 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Marcas e Patentes "," 30 "," 30 "," 41 "
1.02.04.01.03," Direito de Uso "," 8295 "," 8200 "," 8809 "
1.02.04.01.04," Benfeitorias em Imóveis de Terceiros "," "," "," "
1.02.04.01.05," Softwares em desenvolvimento "," 1677 "," 538 "," 152 "
1.02.04.01.06," Ágio na aquisição de participações societárias "," "," "," "
1.02.04.01.19," Outros "," "," "," "
1.02.04.01.20," (-) Amortizações Acumuladas "," -6572 "," -5999 "," -6804 "
1.02.04.02," Goodwill "," "," "," "
