Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 177913 "," 140064 "," 164307 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 177913 "," 140064 "," 164307 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Impostos Parcelados "," 53002 "," 43096 "," 52744 "
2.02.02.02.04," Contas a Pagar "," "," "," "
2.02.02.02.05," Cédulas de Crédito Imobiliário - CCI "," 120921 "," 96968 "," 111563 "
2.02.02.02.06," Outras contas a pagar "," 390 "," 0 "," 0 "
2.02.02.02.07," Contas a pagar na compra de terrenos "," 3600 "," 0 "," 0 "
2.02.03," Tributos Diferidos "," 23343 "," 20683 "," 12267 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 23343 "," 20683 "," 12267 "
2.02.04," Provisões "," 4245 "," 2168 "," 1919 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 4245 "," 2168 "," 1919 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 780 "," 93 "," 53 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 3465 "," 2075 "," 1866 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," 14819 "," 17075 "," 18404 "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," 14819 "," 17075 "," 18404 "
2.02.06.02.01," Receitas de Cessões a Apropriar "," 14819 "," 17075 "," 18404 "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," -725041 "," -468571 "," 4371 "
2.03.01," Capital Social Realizado "," 385064 "," 385064 "," 385064 "
2.03.02," Reservas de Capital "," -1907 "," -1907 "," -1907 "
2.03.02.01," Ágio na Emissão de Ações "," 6376 "," 6376 "," 6376 "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Transação de Capital "," -8283 "," -8283 "," -8283 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 0 "," 12573 "," 12573 "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," 0 "," 12573 "," 12573 "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," -1108198 "," -864301 "," -391359 "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," "," "," "
